userid,mtime,rating_star,comment,sentiment
69545822,20/05/2021 11:29,5,"Đồ giống hình, nhìn khá xinh, giá rẻ, ship siêu nhanh luôn. Chưa dùng thử nên chưa biết thế nào",Tích
49021104,08/05/2021 22:10,5,"Giao hàng nhanh. Mình đặt hộ nên ko biết chất lượng như nào. Nhưng có vẻ ổn, shop bán hàng giá rẻ và rất oke luôn. Nhìn màu cũng xinh xẻo lắm, có cơ hội thì mình cũng sẽ ủng hộ",Tích
275113953,30/06/2021 21:42,4,Sản phẩm giống trên hình. Son khá lì. Thời gian giao hàng hơi lâu chút.,Trng
470905623,24/06/2021 11:41,5,"Son xinh xĩu lun á shopp ơii.vỏ son nhìn cute dễ sợ, lên màu đẹp, với giá rẻ như vạy thì ko cần phải bàn nữa rồi",Tích
321034368,19/05/2021 12:08,5,"Cách xoá MỤN ĐẦU ĐEN mũi bằng DẦU TẨY TRANG. K biết các ông đã nghe đến phương pháp này chưa T đc biết dầu tẩy trang hoạt động với cơ chế Dầu hoà tan dầu. Mụn đầu đen hình thành với cơ chế là do tuyến dầu, bởi vậy nên dùng sp dầu để làm tan ra. Dùng bất cứ dầu tt nào cũng đc, mà phải dùng dầu",Tích
23364385,26/05/2021 15:04,5,Xinh lắm các bạn ơi bling bling lắm giao hàng nhanh nữa iu cá sẽ ủng hộ tiếp,Tích
124689928,05/06/2021 13:52,5,"shop giao hàng đủ, giao hàng nhanh, sản phẩm ok,ổn. đóng gói sản phẩm chắc chắn",Tích
70572173,30/06/2021 12:58,5,"son trông khá cute, test thử lên tay màu cũng ok, chưa test lên môi nên chưa biết ntn. Ổn",Tích
58074290,14/05/2021 16:57,5,Chất son ok phù hợp giá tiền gói hàng nhanh giao hàng cẩn thận oki iu ạ,Tích
354970721,16/05/2021 10:21,5,Anbxkdkdkdmdndnxk d k ksks bsskskansnsiakk,Tích
80925503,11/05/2021 08:37,4,ship hơi lâuu chuii còn đâu mọi thứ từ son đều rất là oklaa,Trng
157958795,30/06/2021 13:58,5,Son xịn màu đẹp mỗi tội là nhanh trôi thui nên mua nha sẽ ủng hộ shop nhìu hơn nữaa,Tích
81543023,24/05/2021 10:15,4,Màu son cũng khá giống hình. Bên ngoài có vẻ đậm hơn hình. Lên môi không đều màu lắm nhưng màu đậm đậm này khá vừa ý mình,Trng
42357395,02/07/2021 09:57,5,Sẽ tiếp tục ủng hộ shop,Tích
66208653,20/05/2021 10:17,5,"Son nhìn xinh lắm nma hơi bị kiểu dính dính mình cảm giác do nóng quá nên kết cấu son bị thay đổi í giao hàng siêu nhanh, shop có tặng dây chun bé bé hihi ncl mua hàng của shop nhiều r nên ko có p nói",Tích
